"year","name","flow","sd","upp50","lwr50","upp80","lwr80","model"
2011,"Austria",183097.628547901,3088.59053741603,185180.824250413,181293.125867184,187549.211271944,179834.437179809,"Main"
2011,"Belgium",273198.203500827,6178.78333029591,277500.983576896,269446.588136807,281811.845222668,266488.732549222,"Main"
2011,"Bulgaria",428122.311446713,6746.67800454578,433047.781933338,424436.534947761,438032.985040547,421529.62447446,"Main"
2011,"Croatia",238064.00479583,3619.9869204906,240584.978099653,236154.370309611,243469.235056727,234616.773862015,"Main"
2011,"Cyprus",81732.5825910271,1358.64725538393,82655.0104792145,80968.5450169624,83706.4708455924,80341.239754711,"Main"
2011,"Czechia",161454.835473054,115428.832476923,224087.478877652,123778.051294217,318434.266556753,100585.956276149,"Main"
2011,"Denmark",81294.5495249294,1240.38370246616,82119.3754938009,80587.3763376196,83077.3344781943,80052.8885639766,"Main"
2011,"Estonia",53230.9569398606,863.870760893455,53813.9458972618,52735.4982679677,54487.6890790803,52332.9561947586,"Main"
2011,"Finland",143240.70740389,2460.94734243481,145046.109654086,141825.74494212,146745.861932473,140778.412906567,"Main"
2011,"France",752427.351723411,20536.6369897867,767158.631612808,739634.402554052,781536.786255845,728966.580375419,"Main"
2011,"Germany",1304558.86661889,23045.7183896321,1320746.54997494,1290870.51896197,1337656.40210574,1280095.79295766,"Main"
2011,"Greece",222000.352028644,3780.3798020165,224508.306148481,219658.306234852,227098.794084665,217832.851905754,"Main"
2011,"Hungary",204729.766216909,3317.03889911826,206949.818490579,202762.804679775,209416.65224167,201273.38651311,"Main"
2011,"Ireland",308700.963121901,5431.18066033205,312491.98912214,305506.276831684,316408.556412551,302983.427140764,"Main"
2011,"Italy",725471.522420863,14465.7167144403,735602.326026647,716646.886431696,746612.99138618,709547.455499048,"Main"
2011,"Latvia",111699.18270956,3350.3270942669,114012.578385776,109554.679067151,116257.0791017,107871.940636322,"Main"
2011,"Lithuania",203565.750696468,5652.42656843144,207746.660366404,200108.219453356,211420.677067957,197228.564621802,"Main"
2011,"Luxembourg",37963.5457436406,1107.93753334031,38759.8550218165,37245.056931247,39488.4378119198,36661.9428124057,"Main"
2011,"Malta",26987.1306064015,1299.56066194733,27549.9576984113,26603.4005470334,28288.0614323738,26314.0208405237,"Main"
2011,"Netherlands",297917.540107035,12523.8225091188,306551.055466714,289782.051352886,315053.944170885,283113.194904425,"Main"
2011,"Poland",2207739.68248554,38184.0900333644,2233229.14208522,2184488.35480799,2260295.3211488,2165293.58540515,"Main"
2011,"Portugal",821048.054176361,13449.6589940173,829809.550265613,813061.360486774,840456.697919815,806971.012476287,"Main"
2011,"Romania",2163055.86549823,31790.8569646117,2185131.87058471,2145565.42065634,2209571.30963439,2132596.32606981,"Main"
2011,"Slovakia",202977.316131363,8854.41473287945,208918.455943267,197323.270498598,215357.48800261,192907.982183205,"Main"
2011,"Slovenia",58942.6956565941,858.285681031581,59572.2943823939,58483.518085361,60239.4251797593,58153.9407243092,"Main"
2011,"Spain",362842.423856655,6880.59809725438,367620.450121079,358733.229480116,372780.264478538,355733.661210754,"Main"
2011,"Sweden",123631.178602002,1840.80176154158,124932.503026402,122606.139934051,126292.14889415,121834.591912165,"Main"
2011,"United Kingdom",760047.392912594,32152.030649964,783390.981958323,739572.880597668,804341.966040933,722990.364616447,"Main"
2012,"Austria",180344.588078134,25119.8769482886,197799.685066037,165363.931275521,216978.482382006,153014.323689892,"Main"
2012,"Belgium",282044.846792521,23465.7094309303,298073.617415767,267439.168094188,314879.683435575,256524.006384848,"Main"
2012,"Bulgaria",478673.833589982,30853.4637380874,500262.88752603,458890.950059038,519540.086999646,440949.45214551,"Main"
2012,"Croatia",244062.613910071,26566.0581125192,262281.701080531,227599.694637645,281737.279306035,215118.91975329,"Main"
2012,"Cyprus",81642.8486309441,12142.3821394276,89729.1130130824,73915.5826654211,98805.6554140294,67562.4448536379,"Main"
2012,"Czechia",201572.32467224,101686.643954409,259664.558772554,164052.03767615,340791.722307054,142028.007102839,"Main"
2012,"Denmark",86659.0047944265,6361.52454219486,91304.4709927717,82625.8442447481,95343.3272251152,79232.7585190491,"Main"
2012,"Estonia",60200.205200638,4277.20264621891,63018.1755400066,57357.6104128194,65855.2367130774,54939.1583895439,"Main"
2012,"Finland",146745.964481094,12767.7110353532,155523.898750338,138200.138602213,164218.991809868,131097.546768804,"Main"
2012,"France",782988.306657322,46532.6898647461,815917.971725498,754298.661365575,847463.431469813,726768.508983736,"Main"
2012,"Germany",1318601.29283824,75634.6959158394,1369629.25094556,1269703.90933978,1419621.20765681,1228082.79404164,"Main"
2012,"Greece",159825.992078781,15432.7146155966,170074.958716304,150209.791129367,181769.129038614,142510.313531562,"Main"
2012,"Hungary",227807.296331029,19732.7988927434,241884.960761038,215310.995522265,254854.196021143,204410.10425584,"Main"
2012,"Ireland",293428.232392518,50021.0480784616,327142.949669484,262364.768544828,362698.707219674,237493.893620147,"Main"
2012,"Italy",759070.465491466,67891.7999402254,805452.642940052,713656.818793471,850866.798185608,678426.872586547,"Main"
2012,"Latvia",119217.423782126,12491.9359855377,127825.93123688,111395.226804513,136167.387608596,104832.559939416,"Main"
2012,"Lithuania",222438.901995425,22968.2988759039,238621.189936889,207788.296233397,254878.488529474,196850.067033293,"Main"
2012,"Luxembourg",41058.1531799313,3467.07986484014,43395.9624978798,38854.1452230551,45559.3152005049,36906.2780118785,"Main"
2012,"Malta",26155.6971339802,4819.31244619702,29481.800478562,23273.9805776121,33059.493751998,21139.7854327554,"Main"
2012,"Netherlands",315092.262548023,22479.2571511802,330971.74088377,300463.337580885,345392.110890485,288605.063284748,"Main"
2012,"Poland",2275823.46090815,251930.413287826,2452622.13264226,2125523.05492151,2629320.02079312,1996978.27809613,"Main"
2012,"Portugal",836323.348342751,104073.148803473,911762.029204934,775109.530893373,989338.612090457,720927.409741736,"Main"
2012,"Romania",2458665.23348438,155866.443495804,2564716.18063295,2351196.6270041,2671644.67764546,2264871.99572396,"Main"
2012,"Slovakia",229640.059594773,17818.2092341058,242100.454256146,218272.743143987,254130.481568264,208880.96700937,"Main"
2012,"Slovenia",56658.4794181031,5582.10359426308,60558.3119947483,53082.3033744351,64440.7792906619,50363.3026059639,"Main"
2012,"Spain",381410.36749618,37145.0331383705,407060.179495322,358057.442471148,432563.229981138,338944.93899915,"Main"
2012,"Sweden",132486.19345613,8173.77092983915,138055.305999812,127147.655544938,143450.880282347,122647.922975671,"Main"
2012,"United Kingdom",780436.865603324,58054.3136521792,821773.965788343,745042.395975483,860965.765005174,714974.652955619,"Main"
2013,"Austria",177672.490601991,30409.2746444252,198405.843678332,159807.00297495,222840.256731705,145246.578845884,"Main"
