"year","name","total","sd","upp50","lwr50","upp80","lwr80","model"
2011,"Austria",421768.760856781,7273.46732517615,426773.327804647,417615.471647196,432436.773472076,414526.012514983,"Main"
2011,"Belgium",516684.039409487,28817.5704689852,536650.046849938,496952.43752254,554825.775895912,481196.465926317,"Main"
2011,"Bulgaria",9243.15308115719,151.866581230548,9352.72555002934,9157.18325891406,9468.83142296449,9094.96929589465,"Main"
2011,"Croatia",54608.0364036586,1731.75830008261,55537.6936935029,53920.1513326336,56709.2555891076,53440.4440738496,"Main"
2011,"Cyprus",88461.0635591293,1324.42212462628,89437.2356902541,87774.820907045,90551.7721023666,87290.3207985557,"Main"
2011,"Czechia",98827.6325766852,8894.57344744864,104809.547331193,92911.9856123232,111240.719093476,88450.5051050948,"Main"
2011,"Denmark",130998.396376429,1771.16401603585,132269.043049326,130079.277898977,133775.948864602,129483.212556361,"Main"
2011,"Estonia",8193.64044642409,116.371961260791,8272.08175740958,8132.24174655515,8371.29284446039,8083.35670585506,"Main"
2011,"Finland",73392.8935091309,1087.81137190064,74191.6974048909,72819.2410023729,75021.4412116752,72381.6624236263,"Main"
2011,"France",1429643.0006913,21294.9059034473,1444799.64699087,1418052.40412759,1461715.46219967,1410283.48387212,"Main"
2011,"Germany",2703868.24841253,102240.268136096,2757479.3167185,2666168.15807331,2836311.87356741,2641949.71825444,"Main"
2011,"Greece",302482.578142357,4784.92290194137,305556.309856412,300021.859781065,309571.980253551,298175.170770266,"Main"
2011,"Hungary",181085.411606817,3009.96350463943,183098.348830718,179320.890922455,185340.735404305,177872.126957443,"Main"
2011,"Ireland",402946.10884415,35250.6429921044,428295.63419086,380339.004517659,450513.053856038,361164.440076533,"Main"
2011,"Italy",1320811.05691226,20067.3644732967,1335082.01636528,1309717.68974044,1350918.35691257,1300677.05323955,"Main"
2011,"Latvia",18597.8645817042,300.152198699632,18795.2906338054,18427.330338749,19027.4979698493,18283.1620266157,"Main"
2011,"Lithuania",10795.7654480083,227.049696734882,10953.2014545797,10649.8458873271,11115.3717606993,10537.2612765686,"Main"
2011,"Luxembourg",133206.625007722,1978.65014047302,134617.449336621,132097.62187317,136193.953673754,131347.370379172,"Main"
2011,"Malta",13560.5669480334,339.826564505775,13782.744681209,13398.7475322971,14059.8678122246,13284.6106054032,"Main"
2011,"Netherlands",329367.683476703,18023.0737181591,341905.58562771,317438.676208882,352986.181448367,307623.121677682,"Main"
2011,"Poland",50993.6964283843,3407.75203829577,52695.3221026618,49988.2672480822,55340.4831597151,49352.0743446008,"Main"
2011,"Portugal",175174.434400417,2675.79237118789,177115.188091318,173689.743577762,179176.089398696,172664.890766785,"Main"
2011,"Romania",10954.6950489037,151.195045962317,11065.3225188508,10877.3992522702,11192.4845708518,10828.2273020448,"Main"
2011,"Slovakia",28913.6267432797,2306.74386240571,30461.1038539915,27486.2537784747,32204.1567176273,26239.9427544512,"Main"
2011,"Slovenia",48313.2483505589,788.888682764085,48827.4750577598,47840.9858454404,49446.1901971002,47482.2790508832,"Main"
2011,"Spain",1544013.77222285,22779.8147799988,1559961.35474768,1532256.30069361,1577633.5044233,1522978.31238214,"Main"
2011,"Sweden",332391.194971202,4690.08614561981,335762.360809208,329938.237622795,339576.969481736,328345.109272121,"Main"
2011,"United Kingdom",2097271.05205846,70217.1575889191,2136329.83511109,2071262.73548117,2182769.93707467,2055345.07763435,"Main"
2012,"Austria",439198.646595083,22919.5038507889,455419.345429606,424280.316897557,469923.380679137,411746.68087501,"Main"
2012,"Belgium",562257.392327878,26851.356666064,580110.624081281,544455.66470684,597194.811198426,528922.989494187,"Main"
2012,"Bulgaria",10904.1687414546,477.569298630203,11239.8368820563,10595.797380096,11541.787343658,10324.2863142213,"Main"
2012,"Croatia",55576.6777930209,7087.10304306361,60522.1235296444,51055.1723443982,65229.4652708696,47545.3938647241,"Main"
2012,"Cyprus",85651.9255644259,8413.59530048769,91451.2738198559,80021.6969636172,97140.0719628904,75755.2538100488,"Main"
2012,"Czechia",138978.772422594,11313.6538800507,146808.688487993,132287.083521735,154278.409023832,126263.43920031,"Main"
2012,"Denmark",141135.083032575,5961.17816558595,145359.379513703,137116.681644079,148990.339634132,133832.671577863,"Main"
2012,"Estonia",9864.13784329157,771.315175391995,10387.4544386336,9359.6128676594,10877.6217484161,8954.54225847983,"Main"
2012,"Finland",81545.7184306628,5084.22146065589,85053.5485454977,78145.1752494784,88376.8821790728,75536.198450121,"Main"
2012,"France",1404219.26824374,124194.574964026,1489508.06512057,1328700.53523601,1581843.54792193,1258125.37862707,"Main"
2012,"Germany",2705011.71850403,260035.375945478,2883329.683372,2539477.83156512,3057505.9190966,2396212.77111723,"Main"
2012,"Greece",294735.63520176,28335.6326769427,313376.051524905,275921.35383956,332395.362685601,260940.653359042,"Main"
2012,"Hungary",194272.683903703,18217.2675787418,206450.254771352,182298.355572974,219005.477442242,172183.734964437,"Main"
2012,"Ireland",412322.837301521,53160.2085864811,449606.511974088,378769.458584144,485145.014129353,351928.524704898,"Main"
2012,"Italy",1542579.95772844,110773.37923469,1618313.73274779,1466064.07371081,1688948.86890696,1404366.86275653,"Main"
2012,"Latvia",19574.4597310159,1620.39413224862,20683.4736276059,18528.9686780186,21741.1248677764,17679.2782579112,"Main"
2012,"Lithuania",11017.8575821554,1334.24472384475,11900.7476930601,10148.6351226612,12913.9882501345,9484.23328451971,"Main"
2012,"Luxembourg",141438.19123452,13244.6375318266,150061.555758727,132794.126280094,159319.336347348,125991.967044706,"Main"
2012,"Malta",15534.5755414666,1847.93842954544,16810.3292963244,14306.627528759,18109.9500359049,13439.475855412,"Main"
2012,"Netherlands",366412.780992468,18412.9945550092,379148.940889747,354474.413732067,391315.923093344,344303.701171831,"Main"
2012,"Poland",56596.5411749219,5824.76888202965,60266.3424242139,53198.6278316499,64294.765592716,50448.1379438827,"Main"
2012,"Portugal",178967.977509896,20325.5590981281,194694.483048317,166332.549382365,207358.448137101,156239.601451868,"Main"
2012,"Romania",12685.3249878428,805.631153825772,13226.0382155116,12159.3078941456,13784.1788573209,11687.8599177739,"Main"
2012,"Slovakia",67309.8707123984,6399.54228150245,71830.741893027,63298.4798119004,76127.0339853328,59899.5774181311,"Main"
2012,"Slovenia",54452.8425416808,4775.69064140703,57907.1369192741,51413.8552823453,61158.2980435822,48825.6456651765,"Main"
