"year","orig","dest","total","sd","upp50","lwr50","upp80","lwr80"
2011,"Austria","Belgium",2145.09876732407,323.306366458939,2379.15798282839,1920.98538165567,2602.98027788113,1773.86107891193
2011,"Austria","Bulgaria",136.876088757433,4.68713241969706,139.790528757428,132.499440636626,141.895771912238,129.543323596093
2011,"Austria","Croatia",4143.84580069764,146.732684544226,4259.05397561717,4025.66410358419,4327.50724796648,3945.38664008695
2011,"Austria","Cyprus",139.290930484871,4.9933978758724,143.062845910085,135.182812644194,145.146188310695,131.903256074281
2011,"Austria","Czechia",1597.59263487288,248.065968716667,1778.89546375849,1432.20876272596,1950.58373914894,1325.76231408888
2011,"Austria","Denmark",1240.39128082677,43.95931923022,1271.21513305165,1200.18057998962,1288.56137330026,1175.16162715387
2011,"Austria","Estonia",39.6107322557423,1.29070267031624,40.5617838235916,38.5525896407425,41.1455478670743,37.8000522704788
2011,"Austria","Finland",431.166808140743,15.1088722591027,443.142634437991,419.761168212136,448.72844564102,408.999212512018
2011,"Austria","France",8308.81415928063,282.964365735738,8504.82882904173,8073.40822318993,8632.54729080098,7890.22427773541
2011,"Austria","Germany",130272.140603966,4584.81408154918,133458.615117976,126194.85387841,135375.191360488,123006.174502994
2011,"Austria","Greece",1779.23348694726,62.6100451144503,1828.30631842408,1728.65918653734,1854.19141699693,1692.2625721308
2011,"Austria","Hungary",3346.26958570151,113.873163398807,3432.6812179932,3257.90589859559,3483.33515167121,3180.15319231789
2011,"Austria","Ireland",579.85581607479,95.6044595718563,645.670007508843,519.491221684819,704.897200306316,456.033309026244
2011,"Austria","Italy",9867.597404405,337.24799053624,10109.8530146176,9590.50218395038,10256.9450479411,9388.90890577438
2011,"Austria","Latvia",77.0347124974488,2.69011828920033,78.9725686706855,74.8005701765243,80.262444777201,73.1409184287865
2011,"Austria","Lithuania",20.0038159660834,11.1487679965843,27.9860141497223,15.2080812164652,35.9621658681008,11.7215312417183
2011,"Austria","Luxembourg",650.235282517775,22.8323391896386,666.474965389059,629.967464256295,677.052507567099,615.437766752249
2011,"Austria","Malta",84.4550579070692,2.97970504665207,86.8851835973974,82.1664629644406,88.0295025917257,80.2666782654442
2011,"Austria","Netherlands",4440.94676828467,724.809027201309,4983.59134622461,4009.8895969281,5477.67027823124,3740.68871652284
2011,"Austria","Poland",1097.17550844887,38.7030026197358,1127.58459822906,1068.48507582103,1139.95356043758,1043.31847973745
2011,"Austria","Portugal",376.343980363581,12.7635565802279,386.152332620096,366.585653215965,392.848002846688,359.226692959567
2011,"Austria","Romania",345.192428838477,11.7852954181222,353.442443026119,334.91265472916,359.766757150223,328.595470541842
2011,"Austria","Slovakia",499.017003886574,17.160315995546,511.12602181222,485.256347619743,519.565394851713,475.492833964556
2011,"Austria","Slovenia",1942.91429107172,69.0388264224365,1997.67035871013,1886.06661685501,2025.73841636928,1841.65157242744
2011,"Austria","Spain",4863.89765997598,168.208478890204,4996.24314801239,4746.252494499,5091.35439735804,4640.81136207429
2011,"Austria","Sweden",2966.87865535602,104.683958155801,3044.17654814263,2886.89564811142,3087.3105976505,2810.09057738619
2011,"Austria","United Kingdom",11613.5845841788,404.442005869535,11933.6074527155,11349.8432911532,12152.1952646067,11066.7341187976
2011,"Belgium","Austria",1652.24479728096,58.4807585496977,1696.88360183838,1606.63886428736,1722.00803698524,1566.27638624849
2011,"Belgium","Bulgaria",212.417745714683,7.61902550192805,218.281077679482,206.307130013267,221.303013839765,201.344505975747
2011,"Belgium","Croatia",185.355781319393,6.3666861223725,189.919014724407,179.702178057378,192.271415612225,175.866003884437
2011,"Belgium","Cyprus",136.83006618041,4.51606439671106,140.03529965705,133.466159511051,142.080638687282,129.996151715686
2011,"Belgium","Czechia",333.046932326468,52.1662709265915,372.836264060784,304.916230433786,405.380102901967,280.028721109134
2011,"Belgium","Denmark",1372.4560997546,46.9321447718231,1406.14039173719,1332.64142509626,1428.72877889655,1305.29829479015
2011,"Belgium","Estonia",33.1397971604703,1.15082105767228,33.9973934155284,32.2846857432133,34.5306405359661,31.5334492923432
2011,"Belgium","Finland",286.409739144981,9.79880094195978,293.592930738623,278.815013569997,298.78819473091,273.005476425984
2011,"Belgium","France",107430.289536111,3878.57064750372,110300.86006147,104534.282108567,112340.79734637,101999.831145759
2011,"Belgium","Germany",19757.9524923689,686.677575713886,20281.258313759,19256.6731128135,20578.7544013307,18756.6499221023
2011,"Belgium","Greece",5008.40885795712,178.717279424958,5126.73113773778,4845.61756093093,5197.43260300831,4732.42662013859
2011,"Belgium","Hungary",820.416401651049,29.2993152360925,843.001674698149,797.350742569198,855.840629776281,778.539224501684
2011,"Belgium","Ireland",1097.30801327867,173.242691541977,1205.90087869659,978.707268377768,1337.62816956968,880.153628847886
2011,"Belgium","Italy",42424.4359289166,1499.69295501801,43453.50059122,41218.123999808,44118.7731416489,40131.0330881411
2011,"Belgium","Latvia",33.1651307196055,1.15546780617393,33.9818082903814,32.1875192537362,34.4967629472706,31.5630092554272
