"year","orig","dest","total","sd","upp50","lwr50","upp80","lwr80"
2011,"Austria","Belgium",2121.05052423023,644.672937579798,2575.80751971444,1737.01260977281,2946.15996111384,1480.19170599671
2011,"Austria","Bulgaria",133.251044999007,5.6542518158888,140.843688689786,131.011596693768,144.060913526316,129.307382255951
2011,"Austria","Croatia",4044.68640425397,167.329282914449,4255.42638897115,3981.5750865517,4363.96259676461,3920.66802990493
2011,"Austria","Cyprus",135.517346084003,5.54643874871395,143.100869401182,133.268069139121,146.130771303927,131.55222983574
2011,"Austria","Czechia",1609.57485502938,241.489346726241,1787.32758404794,1472.29901844771,1953.27250298409,1346.49213200273
2011,"Austria","Denmark",1205.52241902156,50.4442118404569,1272.81511201107,1183.14372528393,1297.32932316905,1171.34055507324
2011,"Austria","Estonia",38.6073042251314,1.60089620375406,40.7602719117071,37.801823451619,41.3067584406228,37.3079113430111
2011,"Austria","Finland",420.764544646165,17.748108008925,444.616828488847,413.247897848027,454.145515321159,407.989232202389
2011,"Austria","France",8106.76604906785,337.799804321604,8554.89888561166,7955.61488995901,8732.18529407819,7849.87339847637
2011,"Austria","Germany",127092.825330161,5227.98569845719,134060.690345139,124785.252239907,136687.544513873,123255.965981266
2011,"Austria","Greece",1732.41508723707,72.781517010135,1825.71409632565,1697.89306835931,1865.97232400996,1675.75436843096
2011,"Austria","Hungary",3260.14084220211,139.282280644654,3445.44550211981,3205.1864706111,3527.32480021619,3158.95321074765
2011,"Austria","Ireland",563.753117868936,96.9810941287463,629.661440508705,504.092628233304,684.400039450812,449.729528159415
2011,"Austria","Italy",9601.27131587736,390.974573341539,10118.5777320628,9447.87445595946,10347.5859576472,9337.55465850518
2011,"Austria","Latvia",74.9931548942232,3.23042707603858,79.158854772226,73.6731942923711,81.0369720664769,72.7131055628111
2011,"Austria","Lithuania",13.0555339037243,7.82138167720264,19.6180250403851,9.24958765371688,26.0104527897943,6.37088097669645
2011,"Austria","Luxembourg",631.381529450613,25.8040593371775,667.747482117889,621.293630905247,680.893839368744,614.017749294087
2011,"Austria","Malta",82.3402150954355,3.51230153579896,86.7812775558626,80.7610283524572,88.9094803598558,79.8645582083664
2011,"Austria","Netherlands",4558.35192473487,746.402292766502,5055.86822206464,4056.05110814355,5561.84569942228,3750.96940208591
2011,"Austria","Poland",1077.15733836612,44.4327142023065,1129.9366368452,1051.47840730497,1152.94466611795,1035.47870660736
2011,"Austria","Portugal",366.849901813875,15.3945045082543,386.885499387074,360.323631323925,394.842209627621,355.645051104798
2011,"Austria","Romania",336.92632669937,13.6176564589129,355.108061559686,330.545609218291,361.217458139519,326.872585223292
2011,"Austria","Slovakia",485.18634532455,20.9933455157492,511.891767129381,476.384244511955,524.643561790089,470.910099670553
2011,"Austria","Slovenia",1901.71796994902,81.8773977767761,2005.22003683791,1854.92570982729,2045.25064094847,1839.40106036459
2011,"Austria","Spain",4768.53695993613,204.098446215039,5007.4326464133,4669.83037252712,5144.78950728362,4608.12973213157
2011,"Austria","Sweden",2893.27542544203,120.105608237751,3045.1003778938,2841.64864734199,3113.08519708926,2803.77812844548
2011,"Austria","United Kingdom",11364.5270981609,496.175675222505,12000.7263667594,11154.1972739146,12264.9258659454,10995.8613991691
2011,"Belgium","Austria",1612.69971041078,66.9100747704997,1702.79438700334,1584.98724656008,1735.1562533955,1562.66456273821
2011,"Belgium","Bulgaria",207.876079211943,8.58412913473092,218.197994078166,203.668580247548,223.010094804711,200.889815759138
2011,"Belgium","Croatia",180.640815170314,7.34128104715355,190.192809390178,177.286197981538,193.877479020404,174.98020573503
2011,"Belgium","Cyprus",133.728027123253,5.74139503041544,140.786098166127,130.737834902626,144.171194569646,129.37257330949
2011,"Belgium","Czechia",331.00917346634,49.7321403005384,363.213296621507,307.518027378463,405.126388189736,279.531386427122
2011,"Belgium","Denmark",1337.61119099138,58.1320361586414,1407.72723543375,1309.67143771285,1442.96629766585,1294.88023938586
2011,"Belgium","Estonia",32.3334520585265,1.36794833999735,34.0871880594442,31.7528098158297,34.9889800831496,31.3522527964721
2011,"Belgium","Finland",279.228992847075,11.6474446468897,294.20483093124,274.459345243062,301.262409978885,270.861257365363
2011,"Belgium","France",104776.906867237,4360.13932449121,110406.861855468,103144.104003018,112999.410125546,101573.67565501
2011,"Belgium","Germany",19310.136863727,804.338585819655,20400.0179941367,18962.8852616775,20799.1523155203,18707.3481391762
2011,"Belgium","Greece",4870.33955804131,202.820785585614,5116.18039391201,4774.46078756466,5241.16125791376,4709.87329749709
2011,"Belgium","Hungary",801.02610345359,34.5167789814019,844.456759274567,785.77841904968,866.368145539469,775.500008623205
2011,"Belgium","Ireland",1080.39823345776,183.270872624321,1203.89539467041,957.216198700884,1330.19809982687,871.211093581815
2011,"Belgium","Italy",41323.7088077628,1707.35902151832,43581.9962153232,40698.2327595177,44487.9447471029,40014.8206253412
2011,"Belgium","Latvia",32.3318578787937,1.31483040221496,33.926222138423,31.7367367139638,34.8579874946537,31.2739163656169
2011,"Belgium","Lithuania",29.124474178188,15.7512898496417,41.2232614235156,22.0770298115734,52.6856456370557,16.9329087847182
2011,"Belgium","Luxembourg",13847.2709615618,582.967545345273,14657.7971551643,13626.3133150787,14917.0156455107,13464.4225647193
2011,"Belgium","Malta",122.865491212828,5.15701882770749,129.90994960658,120.929933120311,132.408236840066,119.347534834416
2011,"Belgium","Netherlands",34203.1891642037,5529.63503616434,37645.2561948847,30551.1925430692,41302.9371980639,27353.1504984781
