"year","name","flow","sd","upp50","lwr50","upp80","lwr80","source_name","source"
2011,"Austria",188593.050076269,7649.76188783035,199289.962226041,185223.713262146,202776.927958191,183412.271307768,"Estimate","Estimate"
2011,"Belgium",282091.1410297,12464.865254673,296381.251649301,275508.888623162,303560.911841136,271045.677470032,"Estimate","Estimate"
2011,"Bulgaria",440411.261173156,18015.5513968943,466663.118576058,432968.590321736,475182.773297749,428980.007713031,"Estimate","Estimate"
2011,"Croatia",244567.184353217,9854.16727734081,259304.426319579,241028.867821437,263891.810606107,238865.565186327,"Estimate","Estimate"
2011,"Cyprus",83945.0603706492,3401.27848093902,88833.4163766982,82814.4090639115,90701.3821613332,81842.0541583794,"Estimate","Estimate"
2011,"Czechia",207535.947356146,141531.398695681,295530.88775914,148182.100823599,412340.463866949,110448.763142203,"Estimate","Estimate"
2011,"Denmark",83766.2325316398,3386.52051513447,88084.8231929532,82276.9486164554,90204.2404457401,81421.6319120177,"Estimate","Estimate"
2011,"Estonia",53615.0539443372,2210.75896475459,56305.1781693667,52544.6210016772,57356.6208255498,51994.9166786452,"Estimate","Estimate"
2011,"Finland",147290.009254953,6059.94187125959,155798.628830895,144780.826897054,158726.170696448,142849.23180808,"Estimate","Estimate"
2011,"France",799227.78425138,52649.260465663,836428.253623739,766347.175372425,877233.02684401,736864.483678357,"Estimate","Estimate"
2011,"Germany",1338811.67675397,56393.5825365159,1415386.62304329,1315332.90452844,1442181.02407726,1298596.6707518,"Estimate","Estimate"
2011,"Greece",228664.296292761,9434.68713936901,241065.317495694,224604.624230015,246577.048938602,221966.810499424,"Estimate","Estimate"
2011,"Hungary",212945.839520599,13100.1867408052,220650.773697341,207724.096320445,225152.899088418,204261.403654822,"Estimate","Estimate"
2011,"Ireland",318532.941857401,13220.3145096996,335616.861669983,312575.220036903,342483.871281977,309509.367480279,"Estimate","Estimate"
2011,"Italy",749900.043595811,31100.4769670563,785767.065392716,734865.371522419,804288.533621452,725264.2641068,"Estimate","Estimate"
2011,"Latvia",116244.488275276,5391.39758951653,120871.830009481,112501.725615157,124673.281266337,110418.137944026,"Estimate","Estimate"
2011,"Lithuania",210205.355570515,9924.677312319,219227.855384204,204068.320257537,227459.335055666,200552.730656124,"Estimate","Estimate"
2011,"Luxembourg",39135.9070828571,1974.24094780771,41076.1138477158,38120.2570484458,42523.1340929717,37349.8970190481,"Estimate","Estimate"
2011,"Malta",28107.0584471026,1767.00068945796,29528.5701726845,27376.9089389866,30869.924571555,26925.0995219191,"Estimate","Estimate"
2011,"Netherlands",309922.539562346,18548.4626969083,325170.080827221,298053.901831069,338271.586463667,289520.384141081,"Estimate","Estimate"
2011,"Poland",2297107.94839732,99872.9976079257,2421107.89696772,2244824.50608827,2475171.31096916,2213361.71358615,"Estimate","Estimate"
2011,"Portugal",847947.377319255,36280.3882218812,898089.804415243,832484.1355153,916103.471057363,822776.003927789,"Estimate","Estimate"
2011,"Romania",2223464.94364839,89355.1413520732,2353379.19786259,2190361.62037779,2398213.10001392,2166663.89164999,"Estimate","Estimate"
2011,"Slovakia",211509.451612403,12267.725790544,221299.236290141,203753.972901694,230145.461937658,197904.454119733,"Estimate","Estimate"
2011,"Slovenia",60692.0620915907,2413.39094286785,64231.9409678285,59688.2682861149,65243.003975848,59058.5117139782,"Estimate","Estimate"
2011,"Spain",373988.058572206,15628.8430650877,394464.52456081,367010.512121064,403321.243668127,362911.306811891,"Estimate","Estimate"
2011,"Sweden",127032.13309452,5225.04748981127,134907.764241222,125210.516495512,137220.771949447,124030.939279104,"Estimate","Estimate"
2011,"UK",788807.719206365,43121.2547974715,829671.249889182,762119.312166435,853958.430769257,744648.549060982,"Estimate","Estimate"
2012,"Austria",185933.006555358,27182.5220398269,202072.557876668,168978.729120347,221079.069652726,156096.493829571,"Estimate","Estimate"
2012,"Belgium",293597.043832337,27696.2258839575,312245.28031907,271107.760265509,327400.311507418,257628.348905084,"Estimate","Estimate"
2012,"Bulgaria",488523.561095423,34884.1194960429,511689.605817001,465870.3409521,532339.091166662,447442.736739986,"Estimate","Estimate"
2012,"Croatia",251643.540938887,28133.6295411636,273875.796483252,233017.848853795,291027.330065788,219717.277336097,"Estimate","Estimate"
2012,"Cyprus",81981.1425034324,13847.3349740608,91209.6050428442,72635.9015564485,101154.481353566,66451.3513439854,"Estimate","Estimate"
2012,"Czechia",248214.008036834,120516.309144303,331464.209727732,186164.400552043,426778.259696066,151998.783453629,"Estimate","Estimate"
2012,"Denmark",90197.2294945164,7222.12471033346,95237.2598425692,85478.9688059125,99747.2654612835,81439.4246122958,"Estimate","Estimate"
2012,"Estonia",60644.7377573488,4870.49610342921,64101.3405389046,57534.2358834414,67435.3885285663,55066.5395645533,"Estimate","Estimate"
2012,"Finland",150116.200804095,13830.0208432193,160445.043951185,141321.618745243,168909.817343419,134111.146316885,"Estimate","Estimate"
2012,"France",804890.466402337,57224.0077649888,852386.390640205,766144.490914278,884049.398965669,742406.997303442,"Estimate","Estimate"
2012,"Germany",1353506.33290673,87832.0857021139,1414326.43001586,1293442.78943863,1476739.66761109,1243700.11433464,"Estimate","Estimate"
2012,"Greece",160260.438543603,15865.1508416685,169454.112751296,150633.851403563,184553.001970538,144182.504057248,"Estimate","Estimate"
2012,"Hungary",234350.339187198,22493.4965382747,251589.81016315,219680.89238745,266111.172171056,210776.495077543,"Estimate","Estimate"
2012,"Ireland",292343.525777572,50388.4048413296,326564.146150033,261378.617531965,367763.090376497,239995.304944715,"Estimate","Estimate"
2012,"Italy",771539.0348667,78968.3617649869,825677.524013878,724579.779526292,879385.784609492,685908.248740789,"Estimate","Estimate"
2012,"Latvia",120557.610402267,14176.2188506638,130798.61338503,112250.676637597,138879.601468505,105579.385687551,"Estimate","Estimate"
2012,"Lithuania",223009.476376586,25732.0421040082,240399.718606336,209141.017096392,261378.503943372,196815.700875097,"Estimate","Estimate"
2012,"Luxembourg",41995.8335852208,3949.16683000581,44689.8099496077,39690.6558590454,47639.7987134853,37424.5381086791,"Estimate","Estimate"
2012,"Malta",27063.3830231806,5413.76824290747,31158.2542188298,23731.1458116355,34075.2329232705,21672.6803249478,"Estimate","Estimate"
2012,"Netherlands",323031.499833616,26730.478032609,343625.93648726,305435.90568746,361742.49917179,291954.246539898,"Estimate","Estimate"
