"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,13334305.8603125,463176.871095208,13632333.9688242,13089568.2415597,14091829.7477281,12754548.1591552
2012,13814452.1004512,508830.677965169,14200436.7799845,13508344.7961688,14559349.0971035,13223154.5483015
2013,14224442.4973777,531741.93054953,14613133.5049087,13867259.6881376,14925873.2669427,13589330.4996462
2014,14530853.6593027,576257.253144127,14925218.6725047,14180175.9499277,15350474.3944863,13868387.0272365
2015,14881696.7838445,527553.877189342,15245379.0579921,14593157.7960249,15658314.479218,14282341.9443725
2016,15211678.2880188,515412.027810092,15594591.1369557,14943666.4099634,15966824.8703056,14667288.8777129
2017,15317985.0242291,505585.275239927,15685946.675911,15040531.300576,15980070.0724365,14759164.8735573
2018,15279691.1294662,636531.747863075,15672311.4951326,14861521.0317741,16086786.145082,14552465.9784401
2019,15181440.6441668,814729.705304874,15644903.9236874,14654388.2015441,16212331.0560104,14157752.4932423
