"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,13368619.3262684,518241.960041437,13554854.2581156,12617007.600425,13748133.7650203,12503961.4687916
2012,13834833.3897728,555731.002950834,14201694.3182926,13392330.45121,14443788.38288,13036881.8190807
2013,14214285.5568244,526524.881296254,14579907.9409926,13872523.2085068,14856610.8283753,13550299.3123489
2014,14540102.7945903,514486.631459364,14876879.5625464,14258295.8271357,15327017.3172514,13958561.156993
2015,14973881.0660465,490140.498648424,15299257.3518005,14700481.0198302,15623808.2285992,14377300.0759324
2016,15431959.773001,457982.596407331,15691487.7204779,15117577.6041852,15983281.8880884,14774118.487359
2017,15465580.8604432,539043.560345384,15796058.921192,15040125.7845357,15980378.9095515,14501620.674825
2018,15359084.079231,667114.27592695,15735707.39696,14879624.5932458,16139004.6084696,14326848.4137223
2019,15237915.7696016,841535.642127392,15735821.6599068,14640639.7796368,16134752.4824893,14169286.8077433
