"year","name","flow","sd","upp50","lwr50","upp80","lwr80","source_name","source"
2011,"Austria",193397.553528279,6068.33862383453,197269.164429306,190503.793790899,201849.09206454,184877.089897573,"Estimate","Estimate"
2011,"Belgium",287936.542815869,10513.0852616068,295739.53806303,280879.702176613,304258.363642668,275689.502709774,"Estimate","Estimate"
2011,"Bulgaria",452293.363876057,14262.8764646208,460908.395929595,444282.680312174,474281.543641123,432938.611821868,"Estimate","Estimate"
2011,"Croatia",251655.985290225,7919.01620441263,257052.328007517,247253.141247476,263271.585182216,240204.444712195,"Estimate","Estimate"
2011,"Cyprus",86516.2665887777,2762.14768408755,88074.5758439186,84777.3867653115,90308.7501544596,83008.3840698117,"Estimate","Estimate"
2011,"Czechia",204486.013971217,187289.666209251,290351.266722984,159402.768387696,458328.965002732,128807.658132925,"Estimate","Estimate"
2011,"Denmark",85810.191938191,2781.25151630752,87703.6916267289,84384.9301592919,89748.0677130586,81876.773602145,"Estimate","Estimate"
2011,"Estonia",56148.7143631506,1794.89706408552,57225.5045533042,55281.3649543967,58962.3829071164,53939.2064991491,"Estimate","Estimate"
2011,"Finland",151204.577656975,4907.49695157811,154328.179869817,148693.6419168,158666.978124094,144441.559060172,"Estimate","Estimate"
2011,"France",804761.87014298,50152.2092753978,838066.372719422,777372.595823935,871477.595283207,753251.866484988,"Estimate","Estimate"
2011,"Germany",1375602.75735989,44438.5469158833,1406721.7457517,1348202.22526222,1438489.13251976,1316019.49476751,"Estimate","Estimate"
2011,"Greece",234281.85264754,7712.76118810516,239681.853079815,230228.875054195,246340.907658823,224444.833068003,"Estimate","Estimate"
2011,"Hungary",216308.501895839,10974.5128788632,223126.577270193,211240.123938766,229471.952285749,204673.945880104,"Estimate","Estimate"
2011,"Ireland",326093.733568581,10412.0353499591,333467.255101185,320103.992269506,341287.448771233,311596.551921382,"Estimate","Estimate"
2011,"Italy",767027.088412283,26330.0263545648,784160.179407526,750227.547165671,801732.475913882,728775.619966976,"Estimate","Estimate"
2011,"Latvia",117454.261019304,4779.30769706583,121516.675404624,114597.056305809,124369.719680832,111657.416516865,"Estimate","Estimate"
2011,"Lithuania",214693.504870838,8089.57473192315,220132.626818167,210270.262035081,224609.401296718,204234.579858756,"Estimate","Estimate"
2011,"Luxembourg",39987.2256560416,1653.06270795007,41273.6342554709,38984.9263845752,42366.9301536976,37984.5210877369,"Estimate","Estimate"
2011,"Malta",28422.7894631253,2114.17330860122,29176.1817852229,27783.4923864518,30681.409727965,27213.8267985878,"Estimate","Estimate"
2011,"Netherlands",313725.171028145,15843.86339903,324881.915414941,303098.407753631,336059.675306419,295714.680881255,"Estimate","Estimate"
2011,"Poland",2334603.45866536,73654.7671676407,2381259.43166173,2285676.91176677,2433065.59802128,2227421.76437513,"Estimate","Estimate"
2011,"Portugal",869077.852529749,27691.1081494091,886416.056684547,851569.457674321,909116.096889236,837418.784987206,"Estimate","Estimate"
2011,"Romania",2285464.70619014,70377.339175479,2323247.55163838,2246667.7849297,2391358.16715057,2181777.15987563,"Estimate","Estimate"
2011,"Slovakia",213813.858066484,10982.9126099853,221217.240584553,206614.723588122,228245.189176421,201345.215473554,"Estimate","Estimate"
2011,"Slovenia",62346.9342132989,1941.14022518602,63357.505691983,61272.9905148089,65208.885118794,59549.3586454655,"Estimate","Estimate"
2011,"Spain",383133.451561249,12125.9254390857,391353.795713334,375614.928920608,399102.611854187,367187.029453362,"Estimate","Estimate"
2011,"Sweden",130665.732213875,4055.74259376338,133482.087615832,128546.426551982,136869.372257306,124556.264469976,"Estimate","Estimate"
2011,"UK",799323.067665565,39142.0031126819,828688.399061118,774905.962176499,851288.200269801,753488.097645399,"Estimate","Estimate"
2012,"Austria",189412.378990263,27594.3920184323,206923.705323234,172068.981684342,230417.117095344,162034.355939116,"Estimate","Estimate"
2012,"Belgium",297053.563146737,26130.4837436566,315894.574453801,278989.130817436,333193.402344202,268917.633357066,"Estimate","Estimate"
2012,"Bulgaria",497087.416976844,32217.80340557,520513.939099496,481383.268585271,544431.56885178,463361.015546757,"Estimate","Estimate"
2012,"Croatia",251817.190718199,30429.5586301624,275865.190890821,233167.617840434,298537.447858889,221887.918552809,"Estimate","Estimate"
2012,"Cyprus",83840.3458372294,11729.523113668,92409.886459024,75236.7805756424,98506.5893950208,68587.9150170406,"Estimate","Estimate"
2012,"Czechia",239905.054224852,152567.257647767,324434.106336632,201923.341725702,453194.273025181,174159.074026602,"Estimate","Estimate"
2012,"Denmark",90551.6819853221,7205.98906316434,95541.9410025463,86087.4219899427,100822.642215181,82604.436754597,"Estimate","Estimate"
2012,"Estonia",62955.9046872046,4599.36207534631,66045.1266251021,60217.565004893,68700.8512313186,57341.682185449,"Estimate","Estimate"
2012,"Finland",154138.041748261,13625.3177831789,162052.977919461,144760.590119297,172455.099774512,136528.99837225,"Estimate","Estimate"
2012,"France",817385.862777586,51224.6193344733,860419.800297972,787438.898799385,888940.466237184,755989.187120821,"Estimate","Estimate"
2012,"Germany",1366218.14829838,85031.9205713723,1425666.78012475,1316400.4661533,1487400.32795317,1277762.2383008,"Estimate","Estimate"
2012,"Greece",166006.111267395,15621.3378040463,177047.503295156,157221.709485053,187903.371586041,147866.831174093,"Estimate","Estimate"
2012,"Hungary",237739.040440632,21683.402499381,251423.817653967,224898.8037729,270975.546793551,213041.261287757,"Estimate","Estimate"
2012,"Ireland",297749.641697115,58725.1018737755,340456.412713043,265056.296786504,390924.093847008,239272.249512375,"Estimate","Estimate"
2012,"Italy",789037.950102572,68269.5910353602,835872.821125363,744435.177867601,884061.857079334,704572.291079161,"Estimate","Estimate"
2012,"Latvia",123760.471599956,13109.2206602509,133553.555310509,116148.356300278,142805.003173791,108779.716969871,"Estimate","Estimate"
2012,"Lithuania",226413.766792672,22128.1669005208,241661.642783329,210768.929325326,258609.205472713,199067.534625254,"Estimate","Estimate"
2012,"Luxembourg",43392.2993123285,3939.1610796801,45782.837988325,40344.4514896492,48526.6812039396,38487.9480806517,"Estimate","Estimate"
2012,"Malta",27224.6243299441,5351.90410439569,30703.0394348975,24265.0003016022,35019.7089257712,22072.3692130209,"Estimate","Estimate"
2012,"Netherlands",328165.928937954,24407.9802934447,346795.394316449,313420.964022228,360832.300588234,300726.974952896,"Estimate","Estimate"
2012,"Poland",2357428.71156187,258845.217125268,2534226.50673406,2173150.82787548,2709537.21686546,2077222.29780729,"Estimate","Estimate"
2012,"Portugal",869190.480850829,107329.106808279,938659.55260089,803626.35124266,1011046.32498697,744180.381358478,"Estimate","Estimate"
2012,"Romania",2565147.78431971,176842.174597126,2688164.27346406,2446489.70814339,2792799.67672552,2343221.84569104,"Estimate","Estimate"
2012,"Slovakia",239339.536402302,20700.6006664909,253640.523251338,224043.865675816,267542.404104037,212550.98920173,"Estimate","Estimate"
2012,"Slovenia",59227.63979022,5721.27574857858,62836.3147632664,55380.5649310858,66777.7452729515,52017.4079651363,"Estimate","Estimate"
2012,"Spain",398642.775103374,41138.980744508,425378.213565622,373383.432661287,450256.181430681,350175.702893908,"Estimate","Estimate"
2012,"Sweden",139458.557028594,9652.74420141769,145868.652367089,132854.936722999,152486.514031602,128415.894070519,"Estimate","Estimate"
2012,"UK",804484.08022313,64933.0922996871,853429.129235394,773510.527551336,899591.023909888,727723.73693804,"Estimate","Estimate"
2013,"Austria",184766.618957417,31688.2427231121,207519.209028907,166751.741090032,234465.396358582,154161.282106116,"Estimate","Estimate"
2013,"Belgium",301517.600877091,30333.4239134576,325313.142131195,283351.092068284,340798.561360434,269759.903901109,"Estimate","Estimate"
2013,"Bulgaria",535687.194326969,42124.7583832664,562225.860488011,510190.861127845,593452.404985667,485222.987216329,"Estimate","Estimate"
2013,"Croatia",257275.92490389,38139.933814521,286539.312623954,234411.987033771,311812.54800807,217268.336041852,"Estimate","Estimate"
2013,"Cyprus",79003.7170460645,14612.927297091,90286.9231840617,70014.116741584,101711.147915165,62941.0099084578,"Estimate","Estimate"
2013,"Czechia",268694.119922133,124487.004338427,345607.61488309,229862.689291227,453319.539096853,209414.809582831,"Estimate","Estimate"
2013,"Denmark",94030.6837015922,9498.48310129188,100769.915098185,87670.0639260524,106700.275412865,84100.2991651328,"Estimate","Estimate"
2013,"Estonia",71210.1804447388,6376.36234768793,75299.4595763972,66700.5160918112,79260.304013117,63481.7960154888,"Estimate","Estimate"
2013,"Finland",153890.780534473,14668.3748595728,163940.887036931,145197.701664026,173757.112198264,136237.309714875,"Estimate","Estimate"
2013,"France",837290.939445157,59553.8163516287,878503.773389786,794371.936370635,912741.997985156,763269.712786348,"Estimate","Estimate"
2013,"Germany",1373754.07174569,86949.9956736016,1425168.26772439,1317115.79702945,1489627.89476193,1269257.16155753,"Estimate","Estimate"
2013,"Greece",129382.534704608,11904.7562217192,137923.186799857,122437.720058772,145657.418536204,116875.276967802,"Estimate","Estimate"
2013,"Hungary",265435.547850995,29538.9076098094,288195.62597537,248384.783516837,307002.313273729,232595.329787945,"Estimate","Estimate"
2013,"Ireland",282859.099688668,63572.9115362142,323853.533164025,249655.904098297,369762.227326739,216161.6901514,"Estimate","Estimate"
2013,"Italy",799315.191928362,98538.8929417046,861978.416874507,745918.826192855,947449.699003469,708162.212645056,"Estimate","Estimate"
2013,"Latvia",130586.81239741,16932.4093600154,141908.753194835,119337.160849013,153511.435701164,110874.907287915,"Estimate","Estimate"
2013,"Lithuania",239369.558184581,31353.5931238878,262906.571982315,221109.018879529,282921.04313669,205135.297204522,"Estimate","Estimate"
2013,"Luxembourg",45724.0876219284,4901.15519409161,48799.0436011548,42378.0950494744,51570.2451733366,39541.6840403032,"Estimate","Estimate"
2013,"Malta",26192.0085050047,6749.24029221994,30476.2116744589,22385.2174107285,35852.4958748293,19784.5857940735,"Estimate","Estimate"
2013,"Netherlands",334015.33081327,29159.6041724868,354929.875957833,319718.598146725,381236.339843081,307329.310214344,"Estimate","Estimate"
2013,"Poland",2376167.70521943,317536.089124925,2606005.25493048,2180783.02544809,2860131.08400464,2041097.75027509,"Estimate","Estimate"
2013,"Portugal",860499.069575392,125379.612318161,944759.362864146,789119.55692576,1032110.77217533,729189.329313471,"Estimate","Estimate"
2013,"Romania",2735208.13411406,218578.931417014,2870371.94468483,2610231.18929947,3061774.4640685,2490230.70017937,"Estimate","Estimate"
2013,"Slovakia",264491.063624081,25236.4197818069,282156.005968616,249644.707673704,303483.481115901,239614.791180318,"Estimate","Estimate"
2013,"Slovenia",59671.7563550345,7397.76658463281,65383.6036898004,55034.7008852341,69752.8326056206,50768.3580566763,"Estimate","Estimate"
2013,"Spain",409139.650968608,48470.9023821967,438348.476446252,382023.038926025,476400.982444808,356305.462901808,"Estimate","Estimate"
2013,"Sweden",146298.236955841,11691.6307209314,153568.573026698,139717.821860935,161031.258700217,132442.081199416,"Estimate","Estimate"
2013,"UK",809189.341658699,67845.7203447082,856777.959675989,769184.971133902,891297.662500439,732777.186612923,"Estimate","Estimate"
2014,"Austria",177962.331282205,29280.3465555456,200690.824336381,161043.49669181,221772.245848948,147825.284151825,"Estimate","Estimate"
2014,"Belgium",305841.219445913,32679.569446442,329204.883693659,286549.871969131,350912.76741369,269270.119929863,"Estimate","Estimate"
2014,"Bulgaria",568549.240315174,50727.7087988788,601801.258360128,541739.974119101,644094.039997889,509168.618996418,"Estimate","Estimate"
2014,"Croatia",261467.065399609,39953.0534509364,292657.824828384,239015.025693189,322186.051269644,226881.014855507,"Estimate","Estimate"
2014,"Cyprus",78353.4740315471,15401.9502870847,89973.4717702588,67867.2029283157,100441.083735205,61286.8423242808,"Estimate","Estimate"
2014,"Czechia",276729.911767,112591.283058683,347263.790029968,244225.459000388,456629.432194549,220857.540634216,"Estimate","Estimate"
2014,"Denmark",97028.1897045777,11222.1623370142,104320.19898893,91366.9068406054,113600.493205988,84373.276719928,"Estimate","Estimate"
2014,"Estonia",78825.5930839481,7308.47944319505,84300.2145038145,74247.5273438969,89389.7649015817,71026.8493829755,"Estimate","Estimate"
2014,"Finland",155958.594743432,15077.8755438791,165871.609522819,145623.297706009,174904.875649085,136986.30172131,"Estimate","Estimate"
2014,"France",849952.982871081,65031.4566994168,899093.657390037,813735.915019775,939215.966868912,780373.928924574,"Estimate","Estimate"
2014,"Germany",1380290.91668523,93677.2347639353,1431613.80235159,1310524.01460757,1493225.6292797,1264510.01403856,"Estimate","Estimate"
2014,"Greece",110408.446563557,9350.69961325541,117390.797992293,105182.420127159,124224.150910386,100850.617959625,"Estimate","Estimate"
2014,"Hungary",295488.70290978,36134.4316918887,317312.425206052,270066.591561987,343393.223166191,253817.364349308,"Estimate","Estimate"
2014,"Ireland",266730.299604815,53780.8128785517,302948.476342904,233959.875403529,334186.971132357,208642.830497354,"Estimate","Estimate"
2014,"Italy",821263.314363714,97594.4959219225,883493.74489289,761035.382614803,966362.540562656,724205.331237534,"Estimate","Estimate"
2014,"Latvia",135881.749444488,19370.0616990316,147976.301870923,123465.984564101,162958.719544582,114179.80410453,"Estimate","Estimate"
2014,"Lithuania",251533.646412133,33981.3177512986,271839.706120222,229787.507900759,298920.264872321,215602.118294534,"Estimate","Estimate"
2014,"Luxembourg",47882.7898135097,6087.43601682445,51973.1523802601,44310.9428567089,56432.3020308467,41272.7409954498,"Estimate","Estimate"
2014,"Malta",24283.8731880719,6824.8297929058,30365.1801476903,20628.2693622639,35013.1768417138,18371.3040794405,"Estimate","Estimate"
2014,"Netherlands",347002.232484297,29799.9952042876,365632.193428357,325499.35113136,383851.048407526,311289.663852117,"Estimate","Estimate"
2014,"Poland",2380041.72320372,349305.132655744,2626735.32336181,2196544.42691887,2843917.11109363,2076780.75466137,"Estimate","Estimate"
2014,"Portugal",851714.23935226,123628.384124152,941216.518610903,790262.246549013,1019024.64254248,723694.677154945,"Estimate","Estimate"
2014,"Romania",2925341.59171833,227837.642325899,3061082.71847302,2741757.54137604,3191373.6614013,2620814.08985287,"Estimate","Estimate"
2014,"Slovakia",288262.320968981,29262.8432178047,307850.208641715,269994.082427393,328929.17213753,250979.079629796,"Estimate","Estimate"
2014,"Slovenia",61304.9705101108,8685.1417214669,67249.6308405455,55949.1411361644,73669.855719958,51644.5826564541,"Estimate","Estimate"
2014,"Spain",423579.286225705,49959.5793217983,452490.86334481,395475.101211371,483066.281358235,368418.204811262,"Estimate","Estimate"
2014,"Sweden",154942.333809326,13982.8860952756,164467.868662389,146715.453477552,172654.328282445,139163.489223921,"Estimate","Estimate"
2014,"UK",797420.51126133,61556.2341895503,848510.11616027,765076.706584041,883188.72810807,730308.994573556,"Estimate","Estimate"
2015,"Austria",175734.378916247,28885.279629322,197110.895372837,159406.015575679,217319.754813844,144142.401722509,"Estimate","Estimate"
2015,"Belgium",312028.377881228,27083.2750420811,327057.401438896,296220.990383524,349942.878242385,283206.960340422,"Estimate","Estimate"
2015,"Bulgaria",609087.856472208,59831.3822158235,654966.111257293,572837.197875416,694148.109296548,538674.337776635,"Estimate","Estimate"
2015,"Croatia",269032.883981081,37374.1671779619,295220.940745473,247980.09815003,325996.044171195,227230.494276579,"Estimate","Estimate"
2015,"Cyprus",76935.1998508615,13602.046144016,86724.9142002643,67574.4087435262,96161.2363635534,61420.2636134428,"Estimate","Estimate"
2015,"Czechia",273215.894003187,88510.5195008974,332824.76055749,244156.25417997,430570.18782135,226188.434310823,"Estimate","Estimate"
2015,"Denmark",99707.0489258321,11857.2049973862,106869.184631279,91492.5154225584,116528.591274585,86741.1605762717,"Estimate","Estimate"
2015,"Estonia",86840.6508894174,8961.14859512153,92626.3333762023,81492.8193234681,97954.3754955517,76248.9603940695,"Estimate","Estimate"
2015,"Finland",156754.968070759,14820.3473007985,168098.489263493,147265.100273851,178796.610826214,140782.210104671,"Estimate","Estimate"
2015,"France",860550.536539989,58940.5866015906,894836.011169183,820082.568499113,940652.66911471,789461.141316401,"Estimate","Estimate"
2015,"Germany",1364167.43039341,81889.7590844447,1421908.65867317,1317031.11183595,1477944.83364883,1269061.15105121,"Estimate","Estimate"
2015,"Greece",98693.9562690262,7608.15784101975,104136.280301261,94424.8345257046,109284.044719075,90769.5822680095,"Estimate","Estimate"
2015,"Hungary",319605.300073304,40416.007714935,344469.663217407,293293.740699639,376406.562843816,274305.087479851,"Estimate","Estimate"
