"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,15820569.5554442,793611.245206038,16410640.6339443,15033727.7088224,16596800.2158571,14564737.8883357
2012,15857571.098636,870082.805424029,16390420.1438267,15175074.5534454,16862738.964453,14555581.7265377
2013,15598843.2173492,902009.015278353,16114405.2874843,14892875.1369343,16747133.7224686,14361019.3059823
2014,15232612.845157,878639.760074779,15858244.1662005,14646965.1660472,16322217.9153508,14126861.6438343
2015,14892454.9474231,710948.367267286,15356909.635933,14432586.8147986,15813786.8272483,14041094.881162
2016,14531083.3013918,599486.623048082,15018610.56055,14159383.4698298,15312850.1136424,13700124.7936977
2017,14109508.4233104,396554.083872861,14394976.2478751,13808709.2209436,14582847.2348982,13578131.8912528
2018,13947268.6081736,515650.351491397,14275480.6200925,13607910.9668852,14604638.1979451,13316714.3336448
2019,14074940.9317826,717084.753967332,14574210.8724633,13652268.0794763,15067314.5687181,13266898.2687924
