"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,13086935.2585976,408328.620452626,13336924.7935842,12898376.0711743,13717360.7043142,12709502.8098924
2012,13710557.3439428,530846.354539681,14088909.0155505,13351390.9101534,14494528.2350623,13078107.5396025
2013,14195702.4657658,631352.601963274,14658072.9509144,13819104.6629745,15144983.5206608,13497149.1207102
2014,14616442.3111829,633867.030054101,15082159.4779954,14267823.8663819,15538505.9282838,13986313.3629003
2015,15070392.1576358,704263.753651323,15520410.8987037,14674502.8757183,15988719.9848663,14294860.9242461
2016,15475491.6697351,677758.029953525,15949158.6774088,15023143.4882073,16463590.1853119,14803973.5038288
2017,15547643.6727633,649532.596105512,15985870.5939681,15146219.3178244,16501501.1160812,14805586.1848486
2018,15341571.7751013,761961.055423496,16072909.7698446,14930769.3783941,16543718.9925122,14639774.4298803
2019,15285266.8452832,862068.298807126,15991262.7175794,14806808.8825544,16510790.2555421,14515165.4127626
