"year","orig","dest","total","sd","upp50","lwr50","upp80","lwr80"
2011,"Austria","Belgium",2150.29620092185,314.568437185061,2356.07878400792,1978.37167816118,2577.85910008894,1810.22588225829
2011,"Austria","Bulgaria",136.849070483321,4.59038046904407,140.065827373048,133.920619122225,143.318718127856,130.373014810194
2011,"Austria","Croatia",4150.83331876476,138.405387488017,4250.53688711301,4057.84193462408,4338.12530090318,3969.32619318727
2011,"Austria","Cyprus",139.063660721164,4.58544774452408,141.980290805583,136.352119964258,145.274334332525,133.093882315653
2011,"Austria","Czechia",1621.53992269091,263.976688074829,1808.92609847955,1458.24578981575,1986.90806534486,1315.40296414199
2011,"Austria","Denmark",1238.5902714188,41.1401547388854,1261.40618165621,1211.77205554413,1300.32120455148,1183.05032360138
2011,"Austria","Estonia",39.565057552186,1.35169987317054,40.4627911275324,38.7658942696437,41.5723857494305,37.902438011449
2011,"Austria","Finland",431.17545577908,14.2478877989866,442.070747956672,423.853288804998,451.859937020526,413.208774611761
2011,"Austria","France",8326.36964468708,274.647794216227,8523.64990868193,8134.68988465989,8669.02387307517,7952.27439813816
2011,"Austria","Germany",130738.342342572,4271.29505298264,133041.534946699,127849.916188239,135908.067357255,124555.273475778
2011,"Austria","Greece",1775.9960036274,58.3396956732499,1819.02642505598,1743.57368267836,1857.67169325302,1703.93076150092
2011,"Austria","Hungary",3350.12018113893,110.809056563772,3417.32819132279,3283.09463556888,3515.39642748663,3204.20571650148
2011,"Austria","Ireland",570.720883531935,100.294819200916,633.573472593859,499.200406313323,704.328640862764,445.797580083852
2011,"Austria","Italy",9864.58598156256,330.266914008008,10107.7412815432,9658.59947241887,10332.6266715795,9414.25948140629
2011,"Austria","Latvia",77.1196542291246,2.50872164000955,78.8707205792403,75.3963548356886,80.5657686597319,74.0489777528916
2011,"Austria","Lithuania",13.5479221756774,6.75399616641466,18.2566981087369,9.85783132292853,24.3982054683589,6.75576546762843
2011,"Austria","Luxembourg",648.415019044964,21.182360624037,665.119514098706,636.272340586139,682.151952821964,623.116173149025
2011,"Austria","Malta",84.4652938565798,2.74294246190729,85.9815656060976,83.1149869298182,88.5193331574187,81.1251972494273
2011,"Austria","Netherlands",4558.5385132657,771.219921154615,5043.54370009851,4075.2019970182,5607.95250198668,3725.24786298205
2011,"Austria","Poland",1099.96974552749,36.9627489040634,1126.74008500382,1078.21704139927,1151.83746228809,1050.3763884065
2011,"Austria","Portugal",376.808032108854,12.5788852536063,385.801775337131,369.466392326784,394.541111297279,360.8209614882
2011,"Austria","Romania",345.11760223671,11.4245914281139,353.042953931095,338.295445047484,361.620059566549,330.03107378741
2011,"Austria","Slovakia",498.141040564208,16.0112347036469,509.149408651246,488.262659790129,520.502713596416,476.096306622914
2011,"Austria","Slovenia",1940.33736357905,63.6433461226457,1993.15159359752,1906.13042673228,2028.70770696176,1853.2432676298
2011,"Austria","Spain",4875.63347948598,162.456869534241,4988.29227358989,4786.29620286328,5107.28171567367,4657.80295282132
2011,"Austria","Sweden",2964.17071803435,100.182213349804,3035.70220579454,2913.4360292832,3116.47777666972,2844.36844884771
2011,"Austria","United Kingdom",11639.5336576095,385.920942431354,11913.7646507717,11418.2999074893,12210.9246701201,11190.6993725528
2011,"Belgium","Austria",1652.5988702828,52.7586777297102,1687.1878348377,1618.20179966255,1725.44629173951,1586.98420944779
2011,"Belgium","Bulgaria",212.071743463114,7.08663757181268,216.868880059131,207.753201576293,223.105781119046,204.043208223324
2011,"Belgium","Croatia",185.002882248142,6.24211888487996,188.738721177494,181.221236051633,193.994447592904,177.17815776539
2011,"Belgium","Cyprus",137.229140086963,4.37601484420352,139.791307468138,134.520591776879,143.513398072858,131.275335330852
2011,"Belgium","Czechia",333.023939789258,53.413011510463,365.034264659659,299.486549033966,407.25049640883,270.364250526745
2011,"Belgium","Denmark",1371.4883121903,46.4550067988889,1407.65243803101,1344.18461771264,1436.48153835703,1313.17220645186
2011,"Belgium","Estonia",33.1835107560877,1.14499035856786,34.0277202512338,32.4287719538219,34.8215936601477,31.7223311370498
2011,"Belgium","Finland",286.840515384171,9.49993399267935,292.727120306644,280.822471936039,299.645412372621,274.298536380324
2011,"Belgium","France",107431.528659647,3734.25528945256,109827.511074998,105573.29088145,113052.533694298,102576.306619985
2011,"Belgium","Germany",19800.7793763436,678.868564456797,20295.8661630674,19310.0647918625,20752.703120045,18930.9680564946
2011,"Belgium","Greece",4993.05153050717,171.949189144325,5107.08557957035,4889.43115002375,5242.961286886,4768.1685509013
2011,"Belgium","Hungary",819.157215450963,27.1765878549304,835.114943736164,802.344656596926,859.544240410001,785.783177815209
2011,"Belgium","Ireland",1098.0388420779,197.586633184703,1222.07035456615,970.342643298548,1368.02354928306,860.753185284582
2011,"Belgium","Italy",42252.3914161039,1291.18287458731,43096.112941259,41558.0663179049,44088.9279896985,40574.9177477534
2011,"Belgium","Latvia",33.196867350879,1.07901281639079,33.8745974410305,32.5170557530483,34.6754061662243,31.6436023594298
2011,"Belgium","Lithuania",32.2786128106068,17.3220859449955,42.4737380663006,23.0021042947262,55.6077456133889,17.4884105844553
2011,"Belgium","Luxembourg",14207.3102538092,469.530814122153,14532.5153452161,13928.8684029379,14877.7430754651,13628.0483052351
2011,"Belgium","Malta",126.224960876912,4.21567102019512,128.951911978012,123.216548485345,132.048629030132,120.448289911173
2011,"Belgium","Netherlands",33815.7667163235,5669.88794967699,38077.9934736247,30811.1624190277,41615.2849707192,27741.5041025632
2011,"Belgium","Poland",798.711723224444,26.2618657767835,819.481509598893,783.338296837569,835.422867667069,767.188532151241
2011,"Belgium","Portugal",2728.32944523748,91.0264094892639,2799.13706067618,2678.13258047582,2863.96249299558,2620.94071493272
2011,"Belgium","Romania",257.52720652473,8.51115171494296,264.297963975494,252.418285582148,269.565346346778,246.929807158803
2011,"Belgium","Slovakia",115.56773576202,3.83976296906261,118.232178765657,113.013694178116,120.817673343898,110.391434478852
2011,"Belgium","Slovenia",127.939512092487,4.1459383713866,130.713791300538,124.95190923095,133.830999697462,122.717214268957
2011,"Belgium","Spain",32407.1909493522,1073.01652696677,33106.4403877408,31712.8294199113,33923.7335085958,30988.6341551522
2011,"Belgium","Sweden",1535.9183437132,50.0039954516199,1568.97946102609,1510.95911617598,1612.30089176709,1471.33194388923
2011,"Belgium","United Kingdom",20647.3132263321,685.149781155799,21089.9478128543,20268.6681044856,21600.5632624842,19712.6607302458
2011,"Bulgaria","Austria",14012.5427545942,455.097179526182,14332.5368015797,13784.4654133375,14681.6077362275,13410.7936165298
2011,"Bulgaria","Belgium",16923.3143142618,2601.240867195,18523.5971933143,15063.1747734824,20380.3247885886,13875.9131458338
2011,"Bulgaria","Croatia",207.45748837391,6.71979442995247,211.6011773185,202.268718662498,215.989365613261,198.767475681837
2011,"Bulgaria","Cyprus",18354.060501465,591.321132654634,18800.6620783076,17978.2008970138,19164.9213624375,17625.2741204566
2011,"Bulgaria","Czechia",5054.51476639339,741.872172687174,5455.89643532989,4601.54122245992,6067.15123195971,4178.32297460242
2011,"Bulgaria","Denmark",3447.04309564566,116.445516846775,3523.83260677221,3367.67114366879,3604.98276742573,3286.72404251172
2011,"Bulgaria","Estonia",65.3806485742967,2.06759658895472,66.4425759040915,64.0238661568484,68.3545028247391,62.379452751241
2011,"Bulgaria","Finland",1067.44225656893,36.3336497239965,1089.13344001905,1046.3149431815,1115.68670129702,1018.08493564797
2011,"Bulgaria","France",15392.558801301,495.91362773506,15705.3257153164,15065.6790232545,16071.9022623541,14668.5374093942
2011,"Bulgaria","Germany",65940.7267638521,2158.11620498984,67266.420081118,64561.286516824,69041.5598514122,63144.2697227248
2011,"Bulgaria","Greece",72427.780099671,2476.33053699526,74018.0589006339,70858.1083460002,76042.9688387175,68996.2187198225
2011,"Bulgaria","Hungary",885.361343455077,28.942120003187,906.382308077306,869.937712584176,925.533257522377,850.329769230135
2011,"Bulgaria","Ireland",1645.58271025303,302.490198611337,1850.17793090104,1466.28758188,2108.66541385497,1297.07284097986
2011,"Bulgaria","Italy",40931.5219967459,1346.70638035041,42027.8224632904,40216.7750666835,42955.0422786662,39431.6121578036
2011,"Bulgaria","Latvia",95.411070569861,2.96643146397095,97.4168725010458,93.6376189599422,99.357870296979,91.2880371346135
2011,"Bulgaria","Lithuania",39.2396648158397,23.7536199742806,55.8500827997593,27.8481431164626,72.2434878249851,22.1662464420073
2011,"Bulgaria","Luxembourg",745.1580775677,25.1122724828898,762.434439747522,729.819814259686,780.132171667123,712.695941897344
2011,"Bulgaria","Malta",844.312874811813,27.8206234719051,865.576245085801,828.612513482894,887.668023889363,811.816509757532
2011,"Bulgaria","Netherlands",13509.0741452787,2231.29198024403,15287.9966104889,12097.3371426755,16627.731843622,10927.0058408226
2011,"Bulgaria","Poland",2502.40810053979,81.7051705112389,2553.591853887,2452.81975755489,2619.56529712915,2395.62651123072
2011,"Bulgaria","Portugal",5176.11426804246,174.65838606249,5280.06227723891,5055.70024923342,5407.56021176413,4946.59021872474
2011,"Bulgaria","Romania",534.12831772098,18.6494860330184,546.274556083317,521.816260407509,559.915087228102,509.071436449488
2011,"Bulgaria","Slovakia",619.546860726403,20.043614919636,633.860557649119,606.467395271156,649.733263692156,594.063532766181
2011,"Bulgaria","Slovenia",788.58593603012,25.8402559266115,807.27571318037,771.618937687904,825.460592575797,753.950086048225
2011,"Bulgaria","Spain",117543.052848333,3996.51846514441,119583.918727365,115145.525445908,123544.677203062,112263.308029194
2011,"Bulgaria","Sweden",6304.14726773076,209.088726664373,6443.41155759879,6167.82314529316,6607.03787118966,6017.32358494668
2011,"Bulgaria","United Kingdom",47168.6064361918,1623.72781197444,48396.543326087,46354.0038223228,49721.8360343355,45224.8473518753
2011,"Croatia","Austria",32653.8399499119,1112.44812763305,33369.8891385999,32004.4293993419,34192.3228335519,31233.4000454663
2011,"Croatia","Belgium",36.0390602703573,5.65472298227121,39.6446645034787,32.5926304669766,44.2219251571767,29.6117316643367
2011,"Croatia","Bulgaria",43.7087679331545,1.44335498470285,44.656801998707,42.8113463437766,45.7337077630242,41.971244912837
2011,"Croatia","Cyprus",66.3654526825225,2.1187039578988,67.8851630917042,65.1287457220791,69.2977715039351,63.6167879455583
2011,"Croatia","Czechia",1005.16683968312,160.295245334349,1106.47905250237,909.739019748741,1206.27753498492,836.567226910657
2011,"Croatia","Denmark",663.539889911356,22.7658738813959,679.958720832418,651.079204300137,696.008105975074,633.133831436154
2011,"Croatia","Estonia",10.6835162976043,0.372883360783559,10.9447294119141,10.4856050790986,11.2009240471241,10.1771550741073
2011,"Croatia","Finland",161.283066679994,5.42463829303436,165.169366413732,157.825217319038,169.432489764094,154.650613758108
2011,"Croatia","France",6166.82854609256,201.749381491472,6317.99351296779,6044.34269912234,6470.79044712858,5934.0660776342
2011,"Croatia","Germany",129528.312868792,4370.24763832293,132448.56897028,126658.089943262,135323.506605155,123505.960369565
2011,"Croatia","Greece",415.372393716542,13.9590014664958,425.641570811494,406.985668198229,436.47549783896,398.050808264065
2011,"Croatia","Hungary",1333.1809560938,43.4537357332088,1361.77443632017,1304.58102326184,1392.92736925409,1279.67568580901
2011,"Croatia","Ireland",894.704096212441,163.350728084256,1006.5118464831,808.613225874685,1151.78025298464,742.059541150301
2011,"Croatia","Italy",26387.6306603381,880.055781740732,26976.5497686455,25791.2157010866,27570.3441732669,25276.6728642216
2011,"Croatia","Latvia",6.41475081915125,0.206658915381211,6.5630392027458,6.29763376138033,6.72897501106736,6.16536403577566
2011,"Croatia","Lithuania",0.613006589615391,0.340971693996164,0.854672759366651,0.458421069211134,1.10926956733456,0.333316756950703
2011,"Croatia","Luxembourg",322.985289593673,10.5606038882521,330.320920415378,316.968316358277,337.981323341462,310.431382591446
2011,"Croatia","Malta",72.7522787977699,2.51917116327051,74.6666876917325,71.2519824994296,76.483676630463,69.5393304586528
2011,"Croatia","Netherlands",121.976435101575,20.4455281405602,137.53586530009,109.67214138365,151.398604843408,99.7624205410892
2011,"Croatia","Poland",321.71723938495,10.3573755004175,329.69554576312,316.098603307648,336.601654008464,310.50329740652
2011,"Croatia","Portugal",114.254837639704,3.88365329505173,117.10557425057,111.79570110366,119.79075972793,109.092722845662
2011,"Croatia","Romania",39.4838146696176,1.30779695170596,40.351231387489,38.6532055287612,41.3336082148864,37.7879495785223
2011,"Croatia","Slovakia",387.106157215546,12.7262598427315,395.103998788887,378.710495591977,403.35415655314,369.46096402144
2011,"Croatia","Slovenia",36186.8860970862,1203.19559505259,37086.3674081722,35346.6203279192,37746.2603187563,34557.4625964944
2011,"Croatia","Spain",1958.8346653068,65.6718671346533,2007.18053836432,1920.61777764283,2060.33775668755,1878.83970919126
2011,"Croatia","Sweden",5374.16113728987,170.163711792756,5478.86691405576,5265.9214879574,5607.96451218135,5128.26652394889
