"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,13134256.9031318,265836.303282892,13275131.600511,12977621.3910462,13423240.3207368,12803543.7605258
2012,13499168.3549592,388762.200632296,13744624.2907609,13227635.906474,13994178.0184731,13017802.061982
2013,13664434.4788954,484454.303808165,13983893.3141784,13372384.8046742,14324644.8020088,13129499.4982633
2014,13745525.8242212,538682.945529843,14126948.8564635,13436216.8298462,14498236.669477,13167961.2344308
2015,13983725.3847309,579256.283979175,14356449.2477681,13549654.6361989,14671853.5157536,13217955.1845783
2016,14186442.2011135,585595.818903842,14493427.5169074,13725500.8856398,14949017.0198319,13346582.7569659
2017,14123940.8536902,638394.961999539,14435049.1923472,13533936.7602168,14772855.2564962,13047048.5250682
2018,13754721.1705201,733202.725316608,14228783.6256701,13237866.6232876,14596890.6693494,12671475.9272466
2019,13382821.8111626,910382.01635247,14059720.7529056,12854908.1119754,14691291.0228274,12184478.0630425
