"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,12986450.497286,535642.493073121,13736587.092371,12808411.6025884,14014058.5320587,12690213.9554198
2012,13607973.496361,616842.435496275,14138074.665259,13227700.7059367,14543420.6120546,12923321.6251594
2013,13925899.7170362,639656.514789111,14381154.0412823,13524548.941753,14820994.8512284,13186077.806219
2014,14155946.9431044,647039.325251384,14627882.656505,13778253.2689257,15099678.5575732,13466518.2154545
2015,14387275.8839179,586769.810794013,14765342.0273823,14045733.4554945,15217434.9173373,13726288.0855744
2016,14638577.3002222,490122.339086486,14962674.5098821,14321658.4628853,15252362.2095307,14081381.2981499
2017,14528511.0904397,435280.896177605,14862530.0902131,14210993.264092,15035771.0296971,13976774.0067994
2018,14417130.6431982,522257.903967591,14781351.0535619,14081514.8241086,15125661.8917653,13773911.3774518
2019,14368619.1385433,675439.898383774,14753302.6687003,13855603.9291057,15278744.5914738,13483321.6050485
