"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,13140395.3211313,411573.710802863,13473432.4954494,12824898.720225,13644613.0255345,12582516.6724615
2012,14184198.6161425,524118.02288563,14526399.7548218,13815105.7030964,14897669.7528004,13489091.4013881
2013,15070075.188659,638231.385694724,15467545.6876926,14607870.3991407,15880423.1328592,14240726.8356264
2014,15815740.9954124,675294.944869372,16334994.4520456,15378884.0192219,16707431.4849808,15012539.8626473
2015,16632658.6672697,727594.506942235,17174311.7072881,16172644.7977655,17673620.4124025,15847485.1884899
2016,17468408.8018333,691748.208175091,18001936.1899494,17007817.9771896,18478164.6535023,16696077.2470599
2017,18330163.7699347,717961.078350102,18832040.9992797,17876070.5730838,19505623.9966909,17527395.533449
2018,19457464.9869858,1008902.31946176,20292534.705998,18828080.9468229,20875148.7940809,18427763.4764894
2019,21677488.7903728,1457499.13606058,22695252.5872175,20667171.4249383,23515540.7089512,19926399.1276694
