"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,13408011.4938445,7412692.00922258,16987541.6529106,11259584.7094525,23165150.8952742,10017827.8053289
2012,12684787.1795654,5619619.52143696,15368506.0522487,11034790.2444064,20403103.1014959,9973609.65490673
2013,12236058.2809232,4432480.12708255,14174671.2584378,10538050.0440185,17720603.5730035,9728454.27290131
2014,11624377.024412,3809187.05950842,13224222.9394246,10295117.5993705,15946400.0424728,9618171.92212993
2015,11360763.8537689,3152009.28874249,12593238.095433,9996224.58281569,14891862.0418833,9491413.93066529
2016,11086518.0666616,2674574.62850245,12316925.6366691,9983422.76203639,14077245.099329,9429605.95774833
2017,10784864.0256039,2524850.9947314,11925683.2858827,9830527.98212375,13508680.5742474,9324324.05116921
2018,10676156.0063943,2215058.1113968,11746360.2873161,9736593.25660719,13268940.4294188,9216807.14910691
2019,10441611.2096922,2025849.53881736,11673100.9152469,9575328.46770992,12998337.6962812,9093959.35667114
