"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,12971070.4125092,310172.80542403,13136486.0079465,12610694.2255473,13258432.0043573,12470737.0079571
2012,13599642.6974578,469339.525851312,13887417.1653887,13256128.2053347,14206075.0444446,13014431.5371893
2013,14126799.1926507,560404.139787954,14519998.5453682,13785081.1901435,14933658.7673527,13512301.2647589
2014,14645396.6946114,588182.497792708,15051932.6048928,14275510.6564761,15356239.3747184,13867822.3886516
2015,15217969.4799713,556873.170895296,15547428.0479719,14808640.3748858,15957385.5986483,14454639.6542922
2016,15626031.0604025,539897.419374726,16022112.1924075,15271484.9156013,16346711.2289709,15036851.5185864
2017,15639580.6623559,543450.124847569,16058495.4055927,15156065.9938305,16361473.3324166,14913922.2082447
2018,15657400.8254877,652811.608761241,16142038.5898007,15216404.63285,16605308.5807167,14876657.0977034
2019,15634176.7436559,844538.857023222,16291193.076426,15144952.8084029,16824175.6074177,14608689.2386722
