"year","orig","dest","total","sd","upp50","lwr50","upp80","lwr80"
2011,"Austria","Belgium",2168.02901813466,314.761531761743,2395.0723856859,1959.07375630176,2566.98249187317,1813.15159144277
2011,"Austria","Bulgaria",135.413115813751,3.35919831413818,138.730865276202,133.441719766004,140.511846653556,131.983758128623
2011,"Austria","Croatia",4105.64361826303,102.837153805518,4201.63669881057,4045.72128799995,4273.83911158891,4001.74193688268
2011,"Austria","Cyprus",137.870446872946,3.5555738020045,141.273880873059,135.687078141883,143.654875987419,134.023776058709
2011,"Austria","Czechia",1620.79641904608,244.25999182845,1789.26501708728,1454.82817997739,1932.56827681522,1312.59562971761
2011,"Austria","Denmark",1226.02900245258,32.0502344217689,1259.9933051238,1211.59814673094,1281.02447289896,1196.0946072388
2011,"Austria","Estonia",39.1634640448972,1.02893148317464,40.0897114597169,38.6031018611595,40.8507083702205,38.1097566386429
2011,"Austria","Finland",427.235659590852,11.4561139403845,438.089916875312,421.726774802648,445.652088155537,415.060767457287
2011,"Austria","France",8215.39594516437,218.515884672939,8417.91655394988,8099.87627656356,8571.59646286682,8026.5141108787
2011,"Austria","Germany",128694.267738685,3531.5604911925,132146.946835562,127046.75161354,134544.722533158,125419.99920324
2011,"Austria","Greece",1759.35632362503,45.7203989442496,1803.48907625696,1734.73445310656,1841.58605527041,1718.35496971416
2011,"Austria","Hungary",3322.60499459517,78.7017154302191,3389.70472613497,3281.51585606932,3450.11127821607,3242.85765560841
2011,"Austria","Ireland",573.110036312297,99.7928838715256,645.293527950832,500.411115966672,700.014084695566,457.221017856766
2011,"Austria","Italy",9759.71250492727,249.771422246787,10016.6631328158,9639.73915611025,10181.6822613204,9518.72948672947
2011,"Austria","Latvia",76.3120039399303,1.99631611614272,77.9566358116412,75.1147167709217,79.4741336056825,74.2212063469609
2011,"Austria","Lithuania",14.4676802354753,7.14974079542662,19.1877945423658,10.77444794831,24.7012414799797,8.384073724012
2011,"Austria","Luxembourg",644.285713171583,16.4436737969845,657.867333197716,632.734146179865,669.68512707367,625.084406836835
2011,"Austria","Malta",83.8977453963415,2.19548669173496,86.0218116882082,82.6681237846412,87.3718622357023,81.4618372571053
2011,"Austria","Netherlands",4617.66475502812,634.843630286626,5076.56747738287,4223.22116140368,5489.16890603975,3870.32614124744
2011,"Austria","Poland",1091.65296427767,28.0998182093,1117.18539075812,1072.40137953654,1132.24050741777,1059.1048277333
2011,"Austria","Portugal",373.929646587601,9.50855389777871,382.964804102924,368.683517431749,389.484122367877,363.951704143376
2011,"Austria","Romania",340.93095079742,8.68684624263636,348.719872267773,337.057743142226,355.772786124052,332.877005383218
2011,"Austria","Slovakia",494.408556041166,12.2011820046659,505.836553821837,487.537086127872,514.198687248558,482.560956034961
2011,"Austria","Slovenia",1928.61181324372,49.2214062582725,1972.80187918428,1902.85911533746,2010.11620268807,1878.88298101319
