"year","total","sd","upp50","lwr50","upp80","lwr80"
2011,12898137.0785029,355704.432913916,13126074.1500466,12732550.2917135,13480598.4785427,12640622.6585008
2012,13395357.9556987,481155.018146774,13680098.5264444,13083108.3153307,13970348.6873058,12792920.5245703
2013,13712255.9198105,575760.921011475,14112955.4459266,13366313.9089501,14511316.1367813,13056848.520589
2014,14040716.5663985,668267.909076892,14521907.6579443,13594782.5848915,14802953.4510542,13188441.5449329
2015,14089750.8451747,633109.220212644,14575727.9384066,13775529.8860386,15052972.2983471,13419361.3323883
2016,14236234.1489432,580416.459953258,14634257.0135826,13837203.5906385,15036898.1519921,13577484.3704957
2017,14374922.8507218,564253.03996766,14859031.3888606,14063118.3839283,15368133.8132372,13809407.9628887
2018,14320366.2100954,702162.144776766,14851687.0791225,13903821.824428,15323331.346841,13609110.2469811
2019,14110141.4463682,857103.901387918,14653208.1691608,13659991.8997527,15344516.9217458,13272211.9235826
