"year","name","flow","sd","upp50","lwr50","upp80","lwr80","source_name","source"
2011,"Austria",191274.14824584,5654.47824356741,197083.20184673,187801.63494766,200787.453508805,186248.243004164,"Estimate","Estimate"
2011,"Belgium",285962.276753362,9988.62251870897,293937.115840448,278624.666331508,299220.143732769,274259.46085287,"Estimate","Estimate"
2011,"Bulgaria",454358.343442065,42449.7441451525,465905.314443693,442083.823668999,476652.965849193,436974.38652174,"Estimate","Estimate"
2011,"Croatia",248964.701627049,6661.27658253996,256251.850493596,245001.169510377,259826.748086286,243016.2655951,"Estimate","Estimate"
2011,"Cyprus",85093.4376500666,2356.59099081274,87544.4631401399,83660.3165753364,88956.2649278007,82912.0488556664,"Estimate","Estimate"
2011,"Czechia",209555.68960132,256192.527753506,314849.61215957,152514.36046208,490175.331454511,113358.971501725,"Estimate","Estimate"
2011,"Denmark",84530.4806204821,2530.25794130194,87135.0546821848,82969.3081479817,88571.2018362405,82119.2158103049,"Estimate","Estimate"
2011,"Estonia",54285.6862272731,2115.43634343816,55965.6493800938,53117.6749660246,57177.8474917123,52536.0692548297,"Estimate","Estimate"
2011,"Finland",149407.604003307,4266.97877052595,153901.579116061,146914.666154669,156279.909508204,145517.576415866,"Estimate","Estimate"
2011,"France",803564.803910794,57072.2320648215,845027.799223392,776201.974914378,883140.512212802,748306.039390843,"Estimate","Estimate"
2011,"Germany",1362474.64022218,40171.3098203844,1396616.8501599,1336158.70078903,1422810.11173263,1320855.56565499,"Estimate","Estimate"
2011,"Greece",230817.029123785,7259.84612854253,237326.996425317,225718.863267376,241269.65377782,223011.682920918,"Estimate","Estimate"
2011,"Hungary",215063.446923841,12082.7497765319,220980.570095022,210540.43864255,232178.189862391,207744.606451136,"Estimate","Estimate"
2011,"Ireland",322526.46104944,9532.96348161819,331687.419976137,316600.095982423,337310.337357551,312469.312625117,"Estimate","Estimate"
2011,"Italy",765107.093701184,34336.2107298524,786058.025908567,742329.197930251,814685.365202511,725284.255687837,"Estimate","Estimate"
2011,"Latvia",117378.604736479,4539.56775567697,120607.812617388,114197.629672273,123341.102672325,111932.318653947,"Estimate","Estimate"
2011,"Lithuania",213587.295409635,8322.96844866065,219414.741518053,208015.66188627,226184.792755882,204277.175305381,"Estimate","Estimate"
2011,"Luxembourg",40282.3199091609,2186.31417859021,41744.7313965926,39023.3548210402,43023.5315776093,38447.1587727815,"Estimate","Estimate"
2011,"Malta",29217.9413004809,2491.65122511241,30033.7812146662,28227.8380746806,31593.7967999254,27711.5522938524,"Estimate","Estimate"
2011,"Netherlands",310402.260222514,19521.7020517243,322570.757141594,299132.136270429,334948.99580319,288407.530374585,"Estimate","Estimate"
2011,"Poland",2331839.63867844,71418.9471355732,2387627.25347608,2280833.13242899,2437169.51574837,2249422.64418514,"Estimate","Estimate"
2011,"Portugal",863505.287805363,27887.9230831762,888081.815741003,845147.524041341,905812.731846411,835165.098976155,"Estimate","Estimate"
2011,"Romania",2259434.14394132,59748.4154356877,2328361.24276518,2222353.4865989,2357060.11562828,2206082.19197161,"Estimate","Estimate"
2011,"Slovakia",211865.584553867,13236.4142057351,221474.579528307,204427.543485215,229905.383876997,199058.493778838,"Estimate","Estimate"
2011,"Slovenia",61511.4551062471,1645.79769597305,63512.0957412342,60666.5943813348,64467.447170421,60192.2384935506,"Estimate","Estimate"
2011,"Spain",387670.112371899,24086.203533722,400909.576409552,376439.987333684,422511.69403885,368323.003298295,"Estimate","Estimate"
2011,"Sweden",128772.188383673,4317.1196801272,132004.821197173,126134.690472905,134618.693532882,124388.42101806,"Estimate","Estimate"
2011,"UK",801585.184028075,45703.4531238306,828984.874418841,770981.426954316,859567.778377273,744396.213447888,"Estimate","Estimate"
2012,"Austria",186313.76961997,34545.4272492312,213115.151413116,164599.820591021,235430.663758649,149380.238899567,"Estimate","Estimate"
2012,"Belgium",287534.525504123,35759.2874138444,314911.12600539,266594.320811521,338804.57098091,244427.507437164,"Estimate","Estimate"
